Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
USC00010178,CA001206197,USC00020060,USC00030150,USC00040161,USC00050214,USC00061762,,USC00080211,USC00090456,USC00510115,USC00100199,USC00110072,USC00120331,USC00130064,USC00140010,USC00121256,USC00160253,USC00170100,USC00072625,USC00190408,CA006139533,USC00210050,USC00220290,USC00230051,CA004032335,USC00250030,USC00260046,USC00270675,USC00280346,USC00290222,USC00300055,USC00310090,CA005022065,USC00151386,USC00340193,USC00350078,USC00360076,USC00370218 ,USC00317363,USC00390022,USC00400137,USC00410012,USC00053307,USC00271647,USC00183850,USC00350753,USC00189405,USC00204090,USC00480380
USC00010260,USC00500201,USC00020159,USC00030220,USC00040192,USC00050263,USC00062658,,USC00080228,USC00090586,USC00510905,USC00100218,USC00110187,USC00120334,USC00130070,USC00140020,USC00150122,USC00160349,USC00170200,USC00073570,USC00190535,USC00200128,USC00210287,USC00220427,USC00230127,CA004034912,USC00250130,USC00260438,USC00270681,USC00280690,USC00290225,USC00300077,USC00311420,USC00320127,USC00330195,USC00340194,USC00350082,USC00360132,USC00376703,USC00380165,USC00390128,USC00401561,USC00410013,USC00420194,USC00430563,USC00440243,USC00450013,USC00333500,USC00219072,USC00481131
USC00010267,USC00500230,USC00020287,USC00030240,USC00040204,USC00050306,USC00063137,,USC00080236,USC00090946,USC00511125,USC00100282,USC00110286,USC00121734,USC00130133,USC00140069,USC00150402,USC00160537,USC00170217,USC00073595,USC00190562,USC00200228,USC00210355,USC00220521,USC00230143,CA004038116,USC00250145,USC00260668,USC00270706,USC00280729,USC00290268,USC00300085,USC00311423,USC00320136,USC00330256,USC00340215,USC00350118,USC00360222,USC00375270,USC00380184,USC00390198,USC00401587,USC00410040,USC00420302,USC00431580,USC00440403,USC00450158,USC00460102,USC00470265,USC00481160
USC00010505,USC00500235,USC00020309,USC00030286,USC00040343,USC00050307,USC00063207,,USC00080369,USC00090969,USC00511484,USC00100347,USC00110598,USC00121843,USC00130157,USC00140201,USC00150630,USC00160555,USC00170409,USC00075320,USC00190655,USC00200420,USC00210387,USC00221314,USC00230179,CA004038740,USC00250355,USC00260714,USC00270741,USC00280734,USC00290275,USC00300090,USC00311564,USC00320209,USC00330264,USC00340257,USC00350145,USC00360229,,USC00380448,USC00390217,USC00401720,USC00410120,USC00420487,USC00431705,USC00440411,USC00450184,USC00460202,USC00470273,USC00481565
USC00010616,USC00500238,USC00020404,USC00030458,USC00040379,USC00050310,USC00063905,,USC00080488,USC00090979,USC00511557,USC00101002,USC00110608,USC00121869,USC00130173,USC00140326,USC00150854,USC00160639,USC00170480,USC00075852,USC00190736,USC00200485,USC00210390,USC00222099,USC00230204,USC00240325,USC00250622,USC00260718,USC00270913,USC00281592,USC00290377,USC00300175,USC00311624,USC00320590,USC00330430,USC00340260,USC00350197,USC00360256,,USC00381093,USC00390223,USC00402305,USC00410144,USC00420490,USC00432843,USC00440449,USC00450217,USC00460355,USC00470287,USC00481676
USC00010836,USC00500243,USC00020490,USC00030460,USC00040436,USC00050454,USC00065309,,USC00080737,USC00091024,USC00511960,USC00101017,USC00111265,USC00121952,USC00130205,USC00140365,USC00150858,USC00160800,USC00170583,USC00075915,USC00190840,USC00200497,USC00210515,USC00222241,USC00230536,USC00240375,USC00250740,USC00260795,USC00271099,USC00281598,USC00290394,USC00300183,USC00311877,USC00320796,USC00330563,USC00340332,USC00350356,USC00360355,,USC00381588,USC00390236,USC00403040,USC00410176,USC00420730,USC00433240,USC00440670,USC00450257,USC00460509,USC00470308,USC00481736
USC00011620,USC00500275,USC00020590,USC00030524,USC00040705,USC00050581,USC00067969,,USC00081163,USC00091029,USC00512630,USC00101018,USC00111288,USC00122638,USC00130214,USC00140408,USC00150860,USC00161891,USC00170833,USC00078269,USC00190998,USC00200552,USC00210520,USC00222896,USC00230542,USC00240412,USC00251082,USC00261684,USC00271450,USC00282644,USC00290404,USC00300331,USC00311881,USC00320814,USC00331042,USC00340391,USC00350471,USC00360361,,USC00381625,USC00390281,USC00403420,USC00410204,USC00420757,USC00434120,USC00440720,USC00450456,USC00460633,USC00470347,USC00481775
USC00011685,USC00500279,USC00020672,USC00030536,USC00040738,USC00050674,USC00067970,,USC00081276,USC00091200,USC00512679,USC00101019,USC00111475,USC00123062,USC00130241,USC00140439,USC00150955,USC00162023,USC00170843,USC00078510,USC00191344,USC00200568,USC00210809,USC00223605,USC00230597,USC00240432,USC00251130,USC00261686,USC00271552,USC00285003,USC00290407,USC00300343,USC00311956,USC00321144,USC00331152,USC00340394,USC00350501,USC00360457,,USC00382260,USC00390559,USC00403465,USC00410235,USC00420928,USC00434189,USC00440766,USC00450482,USC00461319,USC00470349,USC00481816
USC00011803,USC00500396,USC00020678,USC00030582,USC00040790,USC00050754,USC00068330,,USC00081641,USC00091425,USC00512896,USC00101079,USC00111577,USC00123078,USC00130385,USC00140482,USC00151127,USC00162121,USC00170844,USC00079600,USC00191430,USC00200647,USC00210855,USC00223645,USC00230695,USC00240466,USC00251149,USC00261740,USC00272842,USC00285576,USC00290417,USC00300360,USC00311975,USC00321225,USC00331175,USC00341144,USC00350595,USC00360464,,USC00382386,USC00390565,USC00403679,USC00410436,USC00421007,USC00434290,USC00440792,USC00450564,USC00462520,USC00470382,USC00481840
USC00012670,USC00500824,USC00020683,USC00030764,USC00040924,USC00050776,USC00068835,,USC00082008,USC00091463,USC00513510,USC00101217,USC00111743,USC00123082,USC00130608,USC00140800,USC00151227,USC00162361,USC00171131,USC00180390,USC00191561,USC00200710,USC00210934,USC00224001,USC00230817,USC00240780,USC00251190,USC00261905,USC00272898,USC00285769,USC00291223,USC00300505,USC00312172,USC00321288,USC00331177,USC00341148,USC00350631,USC00360475,,USC00383735,USC00390567,USC00403804,USC00410437,USC00421008,USC00435416,USC00440956,USC00450668,USC00462522,USC00470786,USC00482235
